aod440,aod870,eae,ssa440,ssa440_sub,ssa440_sob,eae_sub,eae_sob,aod440_sub,aod440_sob,class,class_00,class_01,class_10,class_11,class_code
3.118344818181818,0.913993607142857,1.910425571428572,0.9087,0.8786999999999999,0.9387,1.8936252146091843,1.9272259282479598,3.108344818181818,3.1283448181818176,12,11,11,12,12,SliAFP
3.449617533333334,1.039070266666667,1.758945266666667,0.9215,0.8915,0.9515,1.7439972840756695,1.7738932492576645,3.439617533333334,3.4596175333333337,12,11,11,13,13,SliAFP
1.443462857142857,0.4133138571428572,1.828689714285714,0.9061,0.8761,0.9361,1.7917727377199126,1.8656066908515152,1.433462857142857,1.453462857142857,12,11,11,12,12,SliAFP
0.3787632857142857,0.127027,1.606040714285714,0.8698,0.8398,0.8998,1.4842416266062273,1.7278398019652008,0.3687632857142857,0.3887632857142857,11,10,10,11,11,MAFP
0.5068902162162163,0.1694592972972973,1.607104027027028,0.8416,0.8116,0.8716,1.5158323805378384,1.6983756735162177,0.4968902162162163,0.5168902162162163,10,10,10,11,11,StrAFP
0.1970089318181818,0.06254970454545455,1.678920045454545,0.88455,0.8545499999999999,0.91455,1.423283575292059,1.934556515617031,0.1870089318181818,0.2070089318181818,11,11,11,12,12,MAFP
0.7370952857142858,0.2201584285714286,1.771806238095238,0.9192,0.8892,0.9492,1.702269258031946,1.8413432181585299,0.7270952857142858,0.7470952857142859,12,11,11,12,12,SliAFP
0.2639216842105264,0.08527715789473685,1.658707052631579,0.907,0.877,0.937,1.4745782191259325,1.8428358861372256,0.2539216842105264,0.27392168421052643,12,11,11,12,12,SliAFP
0.1770211627906977,0.0588633488372093,1.622587325581395,0.8963,0.8663,0.9263,1.3478816605383486,1.8972929906244413,0.1670211627906977,0.18702116279069772,11,11,11,12,12,MAFP
0.2801445555555556,0.1123000555555556,1.344937555555556,0.9241999999999999,0.8941999999999999,0.9541999999999999,1.2019454591272203,1.4879296519838918,0.2701445555555556,0.2901445555555556,12,11,11,13,13,SliAFP
0.2479514166666667,0.09374852777777781,1.41907375,0.9217,0.8916999999999999,0.9517,1.2492192736353849,1.588928226364615,0.2379514166666667,0.2579514166666667,12,11,11,13,13,SliAFP
0.429814551724138,0.1683270344827586,1.458995310344828,0.9076333333333334,0.8776333333333334,0.9376333333333334,1.3641215351979983,1.553869085491658,0.419814551724138,0.439814551724138,12,11,11,12,12,SliAFP
0.3937744999999999,0.1158741538461538,1.80021,0.90065,0.8706499999999999,0.93065,1.6682502105536487,1.9321697894463514,0.3837744999999999,0.4037744999999999,12,11,11,12,12,SliAFP
0.3873954999999999,0.13749875,1.523728208333334,0.9138,0.8837999999999999,0.9438,1.4087023968752406,1.6387540197914277,0.3773954999999999,0.3973954999999999,12,11,11,12,12,SliAFP
0.5238070294117647,0.1578338529411764,1.75383044117647,0.9142,0.8842,0.9442,1.6559488597489227,1.8517120226040173,0.5138070294117647,0.5338070294117647,12,11,11,12,12,SliAFP
0.7065903684210527,0.2157654210526316,1.736991631578948,0.9236,0.8936,0.9536,1.6659076164993878,1.8080756466585082,0.6965903684210527,0.7165903684210527,12,11,11,13,13,SliAFP
0.502955,0.1754186666666667,1.544726,0.9187,0.8886999999999999,0.9487,1.4553378790314477,1.6341141209685524,0.49295500000000003,0.512955,12,11,11,12,12,SliAFP
0.7134488181818182,0.2238274090909091,1.694377045454546,0.9233,0.8933,0.9533,1.625691292467595,1.7630627984414968,0.7034488181818181,0.7234488181818182,12,11,11,13,13,SliAFP
0.6797208181818181,0.1877736818181819,1.882740954545455,0.9421,0.9121,0.9721000000000001,1.8016952788320295,1.9637866302588805,0.6697208181818181,0.6897208181818181,12,12,12,13,13,SliAFP
0.8138217333333332,0.2100736333333333,1.987198666666667,0.91565,0.8856499999999999,0.94565,1.913769723380819,2.060627609952515,0.8038217333333332,0.8238217333333332,12,11,11,12,12,SliAFP
0.6807234999999999,0.25641875,1.43472975,0.9431,0.9131,0.9731000000000001,1.3735904920329909,1.4958690079670092,0.6707234999999999,0.6907234999999999,12,12,12,13,13,SliAFP
0.5871342380952381,0.1923489523809524,1.630411190476191,0.94485,0.9148499999999999,0.97485,1.5501615956827017,1.7106607852696805,0.5771342380952381,0.5971342380952381,12,12,12,13,13,SliAFP
0.301283,0.1231968,1.3157656,0.9435,0.9135,0.9735,1.1871276540778064,1.4444035459221936,0.291283,0.31128300000000003,12,14,12,15,13,SliAFP
1.584749833333333,0.4190681923076923,1.926638884615385,0.9255,0.8955,0.9555,1.8904323128616023,1.9628454563691677,1.574749833333333,1.594749833333333,12,11,11,13,13,SliAFP
1.663296714285714,0.4638569999999999,1.863657266666667,0.9514499999999999,0.9214499999999999,0.9814499999999999,1.8306030598046803,1.8967114735286539,1.653296714285714,1.673296714285714,13,12,12,13,13,WAFP
0.8508945454545455,0.2534611818181818,1.774300636363636,0.9277500000000001,0.89775,0.9577500000000001,1.713913615001261,1.834687657726011,0.8408945454545455,0.8608945454545455,12,11,11,13,13,SliAFP
0.7221673333333333,0.3211756666666667,1.216333666666667,0.94235,0.91235,0.97235,1.166348278224678,1.2663190551086563,0.7121673333333333,0.7321673333333333,12,14,12,15,13,SliAFP
0.3033609393939395,0.1029621515151515,1.589248696969697,0.9359999999999999,0.9059999999999999,0.966,1.4387984708375443,1.7396989231018498,0.2933609393939395,0.3133609393939395,12,12,12,13,13,SliAFP
0.2253506,0.08621176,1.46366268,0.9523,0.9223,0.9823000000000001,1.2785932010437362,1.648732158956264,0.2153506,0.23535060000000002,13,12,12,13,13,WAFP
