aod440,aod870,eae,ssa440,ssa870,aae,aae_sub,aae_sob,eae_sub,eae_sob,aod440_sub,aod440_sob,class,class_00,class_01,class_10,class_11,class_code
3.118344818181818,0.913993607142857,1.910425571428572,0.9087,0.8414,0.9901440983321798,,,1.8937012516233995,1.9271498912337446,3.108344818181818,3.1283448181818176,9,9,9,9,9,NC
3.449617533333334,1.039070266666667,1.758945266666667,0.9215,0.8886,1.2467145051193147,,,1.744101672168106,1.773788861165228,3.439617533333334,3.4596175333333337,9,9,9,9,9,NC
1.443462857142857,0.4133138571428572,1.828689714285714,0.9061,0.86516,1.3036679133748452,,,1.7917727377199126,1.8656066908515152,1.433462857142857,1.453462857142857,9,9,9,9,9,NC
0.3787632857142857,0.127027,1.606040714285714,0.8698,0.7747,0.7982043412841501,0.08857349982053042,1.5078351827477698,1.4835395771264566,1.7285418514449715,0.3687632857142857,0.3887632857142857,3,9,9,7,9,BB
0.5068902162162163,0.1694592972972973,1.607104027027028,0.8416,0.7324,0.8380465602072036,0.34586660728168206,1.330226513132725,1.5158323805378384,1.6983756735162177,0.4968902162162163,0.5168902162162163,3,9,9,7,7,BB
0.1970089318181818,0.06254970454545455,1.678920045454545,0.88455,0.8571,1.3700376698849293,0.0,3.20014863708324,1.4248167123920936,1.9330233785169963,0.1870089318181818,0.2070089318181818,7,9,9,9,9,UI
0.7370952857142858,0.2201584285714286,1.771806238095238,0.9192,0.9005,1.4671585106718559,,,1.7011314450444668,1.8424810311460091,0.7270952857142858,0.7470952857142859,9,9,9,9,9,NC
0.2639216842105264,0.08527715789473685,1.658707052631579,0.907,0.8773,1.250667153426729,,,1.4754387308264372,1.8419753744367209,0.2539216842105264,0.27392168421052643,7,9,9,9,9,UI
0.1770211627906977,0.0588633488372093,1.622587325581395,0.8963,0.8188,0.7964451409997406,,,1.3476020095951469,1.897572641567643,0.1670211627906977,0.18702116279069772,3,9,9,9,9,BB
0.2801445555555556,0.1123000555555556,1.344937555555556,0.9241999999999999,0.88745,0.761065044076723,,,1.2035003775326045,1.4863747335785076,0.2701445555555556,0.2901445555555556,3,9,9,9,9,BB
0.2479514166666667,0.09374852777777781,1.41907375,0.9217,0.9023,1.1020134060930085,,,1.2496029485720552,1.5885445514279446,0.2379514166666667,0.2579514166666667,7,9,9,9,9,UI
0.429814551724138,0.1683270344827586,1.458995310344828,0.9076333333333334,0.8833666666666667,1.0329427584414719,,,1.3653446957615238,1.5526459249281324,0.419814551724138,0.439814551724138,7,9,9,9,9,UI
0.3937744999999999,0.1158741538461538,1.80021,0.90065,0.8555999999999999,1.2458741407505751,,,1.6669974630287674,1.9334225369712328,0.3837744999999999,0.4037744999999999,9,9,9,9,9,NC
0.3873954999999999,0.13749875,1.523728208333334,0.9138,0.8488,0.6951520801960513,,,1.4093422576861072,1.638114158980561,0.3773954999999999,0.3973954999999999,3,9,9,9,9,BB
0.5238070294117647,0.1578338529411764,1.75383044117647,0.9142,0.8779,1.2420949120015132,,,1.6563327258484672,1.8513281565044728,0.5138070294117647,0.5338070294117647,9,9,9,9,9,NC
0.7065903684210527,0.2157654210526316,1.736991631578948,0.9236,0.8949,1.2722696212052738,,,1.665178282113863,1.808804981044033,0.6965903684210527,0.7165903684210527,9,9,9,9,9,NC
0.502955,0.1754186666666667,1.544726,0.9187,0.8616666666666667,0.7654259079997351,,,1.4558669472373265,1.6335850527626736,0.49295500000000003,0.512955,3,9,9,9,9,BB
0.7134488181818182,0.2238274090909091,1.694377045454546,0.9233,0.8934,1.217590041016639,,,1.6251479796644726,1.7636061112446193,0.7034488181818181,0.7234488181818182,7,9,9,9,9,UI
0.6797208181818181,0.1877736818181819,1.882740954545455,0.9421,0.9176,1.369446044658122,,,1.7989965045032206,1.9664854045876894,0.6697208181818181,0.6897208181818181,9,9,9,9,9,NC
0.8138217333333332,0.2100736333333333,1.987198666666667,0.91565,0.8585750000000001,1.2284961073132676,,,1.9137001079434741,2.06069722538986,0.8038217333333332,0.8238217333333332,9,9,9,9,9,NC
0.6807234999999999,0.25641875,1.43472975,0.9431,0.9086,0.7369526083943964,,,1.3735992882356594,1.4958602117643407,0.6707234999999999,0.6907234999999999,3,9,9,9,9,BB
0.5871342380952381,0.1923489523809524,1.630411190476191,0.94485,0.9200999999999999,1.0931538538770253,,,1.5477842729411482,1.713038108011234,0.5771342380952381,0.5971342380952381,7,9,9,9,9,UI
0.301283,0.1231968,1.3157656,0.9435,0.9172,0.7511598025642519,,,1.1869698600474776,1.4445613399525223,0.291283,0.31128300000000003,3,9,9,9,9,BB
1.584749833333333,0.4190681923076923,1.926638884615385,0.9255,0.87595,1.203227749857358,,,1.8904135926991232,1.9628641765316468,1.574749833333333,1.594749833333333,9,9,9,9,9,NC
1.663296714285714,0.4638569999999999,1.863657266666667,0.9514499999999999,0.91125,0.9883131391796357,,,1.8302803663593399,1.8970341669739943,1.653296714285714,1.673296714285714,9,9,9,9,9,NC
0.8508945454545455,0.2534611818181818,1.774300636363636,0.9277500000000001,0.8767,0.9924762964445012,,,1.7136904321205995,1.8349108406066725,0.8408945454545455,0.8608945454545455,9,9,9,9,9,NC
0.7221673333333333,0.3211756666666667,1.216333666666667,0.94235,0.90745,0.4942067279547743,,,1.1662205414911453,1.266446791842189,0.7121673333333333,0.7321673333333333,9,9,9,9,9,NC
