aod440,aod500,fmf500,rmse_fmf,fmf500_sub,fmf500_sob,aod500_sub,aod500_sob,class,class_00,class_01,class_10,class_11,class_code
0.1615345,0.141581,0.59825825,0.097178,0.50108025,0.69543625,0.131581,0.15158100000000002,1,1,1,1,1,M
0.09349199999999998,0.08280939999999999,0.6213192666666667,0.1014778,0.5198414666666666,0.7227970666666668,0.0728094,0.09280939999999999,1,1,1,1,1,M
0.09636553333333334,0.08660946666666665,0.5447573333333334,0.0886206,0.45613673333333343,0.6333779333333334,0.07660946666666665,0.09660946666666664,1,1,1,1,1,M
0.1671064444444444,0.1533728888888889,0.3628723333333334,0.06936788888888891,0.2935044444444445,0.4322402222222223,0.14337288888888888,0.1633728888888889,1,1,1,1,1,M
0.09876270000000001,0.08767109999999999,0.6282514000000001,0.1023324,0.5259190000000001,0.7305838000000001,0.07767109999999999,0.09767109999999998,1,1,1,1,1,M
0.1053866428571429,0.09278492857142855,0.5857744285714286,0.0893682857142857,0.4964061428571429,0.6751427142857143,0.08278492857142855,0.10278492857142854,1,1,1,1,1,M
0.1193545882352941,0.1072894705882353,0.484384375,0.07731212499999998,0.40707225,0.5616964999999999,0.09728947058823531,0.1172894705882353,1,1,1,1,1,M
0.09267929411764704,0.08820364705882355,0.3787755882352941,0.07471035294117646,0.30406523529411766,0.45348594117647056,0.07820364705882356,0.09820364705882355,1,1,1,1,1,M
0.07878720000000002,0.070601,0.5696985,0.063629,0.5060695,0.6333275,0.060600999999999995,0.08060099999999999,1,1,1,1,1,M
0.042212,0.037388,0.552065,0.062312,0.48975300000000005,0.6143770000000001,0.027387999999999996,0.047388,1,1,1,1,1,M
0.09114183333333332,0.07874600000000001,0.5732018333333334,0.07052916666666666,0.5026726666666668,0.643731,0.06874600000000002,0.088746,1,1,1,1,1,M
0.1033422,0.09354559999999999,0.4587855333333333,0.06958986666666668,0.3891956666666666,0.5283753999999999,0.0835456,0.10354559999999999,1,1,1,1,1,M
0.1044438461538462,0.09125515384615385,0.5114444615384615,0.06591907692307693,0.44552538461538455,0.5773635384615384,0.08125515384615385,0.10125515384615384,1,1,1,1,1,M
0.1121035714285714,0.09902571428571429,0.5712352857142858,0.08556857142857142,0.4856667142857144,0.6568038571428573,0.08902571428571429,0.10902571428571428,1,1,1,1,1,M
0.05063691666666666,0.04759691666666666,0.3301929166666667,0.06705466666666667,0.2631382500000001,0.3972475833333334,0.03759691666666666,0.057596916666666664,1,1,1,1,1,M
0.043561,0.04014788888888889,0.5547041111111111,0.07857977777777778,0.47612433333333326,0.6332838888888889,0.03014788888888889,0.050147888888888895,1,1,1,1,1,M
0.0590715,0.05428966666666666,0.448943,0.0702795,0.3786635,0.5192224999999999,0.04428966666666666,0.06428966666666666,1,1,1,1,1,M
0.03942685714285714,0.03731928571428571,0.3393558571428572,0.07467585714285715,0.26468,0.4140317142857144,0.027319285714285706,0.04731928571428571,1,1,1,1,1,M
0.0648651875,0.0612043125,0.3627138,0.0648432,0.2978706,0.42755699999999996,0.051204312499999995,0.07120431249999999,1,1,1,1,1,M
0.05016975,0.04802975,0.6057699999999999,0.1699075,0.43586249999999993,0.7756774999999999,0.03802975,0.058029750000000005,1,1,1,1,1,M
0.06905819999999999,0.0626746,0.5264694,0.0737364,0.452733,0.6002058,0.052674599999999995,0.07267459999999999,1,1,1,1,1,M
3.118344818181818,2.605602909090909,0.9853782727272726,0.2286241818181818,0.7567540909090908,1.2140024545454544,2.595602909090909,2.6156029090909088,8,8,8,8,8,C
3.449617533333334,2.909129333333333,0.9827699333333333,0.2384855333333333,0.7442844,1.2212554666666666,2.8991293333333332,2.919129333333333,8,8,8,8,8,C
1.1556265,0.9569771999999999,0.9238215999999999,0.1652496,0.7585719999999999,1.0890711999999998,0.9469771999999999,0.9669771999999999,8,8,8,8,8,C
3.148937214285714,2.442838,0.9545443636363636,0.1750851818181818,0.7794591818181819,1.1296295454545455,2.4328380000000003,2.452838,8,8,8,8,8,C
2.246037552631579,1.834981619047619,0.9528122000000003,0.1676506,0.7851616000000003,1.1204628000000003,1.824981619047619,1.844981619047619,8,8,8,8,8,C
2.846480043478261,2.35838116,0.9547008333333332,0.1960351666666667,0.7586656666666665,1.150736,2.34838116,2.3683811599999998,8,8,8,8,8,C
1.872615458333333,1.5383795,0.9656135833333334,0.181448375,0.7841652083333334,1.1470619583333335,1.5283795,1.5483795,8,8,8,8,8,C
1.443462857142857,1.184966714285714,0.9590862307692307,0.1787179230769231,0.7803683076923076,1.1378041538461539,1.174966714285714,1.194966714285714,8,8,8,8,8,C
0.7860772857142857,0.642465238095238,0.93276725,0.15601835,0.7767489000000001,1.0887856,0.632465238095238,0.652465238095238,8,8,8,8,8,C
1.336335181818182,1.106964939393939,0.9525056129032259,0.1834022903225806,0.7691033225806453,1.1359079032258066,1.096964939393939,1.116964939393939,8,8,8,8,8,C
1.625966875,1.354475625,0.9514388749999999,0.187817875,0.7636209999999999,1.13925675,1.344475625,1.364475625,8,8,8,8,8,C
0.3787632857142857,0.3150418571428572,0.8560264285714286,0.1429581428571429,0.7130682857142857,0.9989845714285716,0.3050418571428572,0.3250418571428572,8,8,8,8,8,C
0.30265285,0.2583273,0.5793043499999999,0.08527164999999999,0.49403269999999994,0.664576,0.24832729999999997,0.2683273,1,1,1,1,1,M
0.828952135135135,0.6773696756756759,0.8910999428571428,0.1433459714285714,0.7477539714285714,1.034445914285714,0.6673696756756758,0.6873696756756759,8,8,8,8,8,C
0.8771370000000001,0.7223094999999999,0.8254250000000001,0.131768,0.6936570000000001,0.9571930000000001,0.7123094999999999,0.7323095,8,5,8,5,8,C
0.881206375,0.7245766250000001,0.881754125,0.14562425,0.736129875,1.027378375,0.7145766250000001,0.7345766250000001,8,8,8,8,8,C
1.8555131,1.608862545454546,0.4613407142857143,0.1071265714285714,0.3542141428571429,0.5684672857142857,1.598862545454546,1.618862545454546,5,5,5,5,5,D
0.4741737567567568,0.3933073783783784,0.820056945945946,0.1325741081081081,0.6874828378378379,0.9526310540540541,0.3833073783783784,0.40330737837837843,8,5,8,5,8,C
0.5068902162162163,0.4170318378378379,0.8297596216216216,0.1304572702702703,0.6993023513513513,0.960216891891892,0.4070318378378379,0.42703183783783794,8,5,8,5,8,C
0.7566357222222222,0.636003777777778,0.7836013333333331,0.1332563888888889,0.6503449444444442,0.9168577222222221,0.6260037777777779,0.646003777777778,8,5,8,5,8,C
