aod440,aod870,eae,rri440,rri440_sub,rri440_sob,eae_sub,eae_sob,aod440_sub,aod440_sob,class,class_00,class_01,class_10,class_11,class_code
3.118344818181818,0.913993607142857,1.910425571428572,1.4253,1.3853,1.4653,1.8937003626151527,1.9271507802419914,3.108344818181818,3.1283448181818176,9,9,9,9,9,NC
3.449617533333334,1.039070266666667,1.758945266666667,1.5095,1.4695,1.5495,1.74420149765772,1.7736890356756139,3.439617533333334,3.4596175333333337,9,9,9,9,9,NC
1.443462857142857,0.4133138571428572,1.828689714285714,1.49494,1.45494,1.53494,1.791730093854578,1.86564933471685,1.433462857142857,1.453462857142857,9,9,9,9,9,NC
0.3787632857142857,0.127027,1.606040714285714,1.5201,1.4801,1.5601,1.484162422799099,1.727919005772329,0.3687632857142857,0.3887632857142857,9,3,9,3,9,NC
0.5068902162162163,0.1694592972972973,1.607104027027028,1.3928,1.3528,1.4328,1.5155261816389785,1.6986818724150776,0.4968902162162163,0.5168902162162163,7,7,7,9,9,UI
0.1970089318181818,0.06254970454545455,1.678920045454545,1.47365,1.4336499999999999,1.51365,1.425704692128141,1.9321353987809489,0.1870089318181818,0.2070089318181818,9,3,9,3,9,NC
0.7370952857142858,0.2201584285714286,1.771806238095238,1.4645,1.4244999999999999,1.5045,1.702269258031946,1.8413432181585299,0.7270952857142858,0.7470952857142859,9,7,9,9,9,NC
0.2639216842105264,0.08527715789473685,1.658707052631579,1.4427,1.4027,1.4827000000000001,1.476847954755412,1.840566150507746,0.2539216842105264,0.27392168421052643,9,7,9,3,9,NC
0.1770211627906977,0.0588633488372093,1.622587325581395,1.5259,1.4859,1.5659,1.3504552057387278,1.8947194454240621,0.1670211627906977,0.18702116279069772,9,3,9,3,9,NC
0.2801445555555556,0.1123000555555556,1.344937555555556,1.50635,1.46635,1.5463500000000001,1.2002522374089026,1.4896228737022095,0.2701445555555556,0.2901445555555556,3,3,3,3,3,BB
0.2479514166666667,0.09374852777777781,1.41907375,1.4813,1.4413,1.5213,1.2491904662053799,1.58895703379462,0.2379514166666667,0.2579514166666667,3,3,9,3,9,BB
0.429814551724138,0.1683270344827586,1.458995310344828,1.457933333333333,1.417933333333333,1.4979333333333331,1.3642395376253755,1.5537510830642807,0.419814551724138,0.439814551724138,3,7,7,3,9,BB
0.3937744999999999,0.1158741538461538,1.80021,1.46805,1.42805,1.5080500000000001,1.6662479123251615,1.9341720876748387,0.3837744999999999,0.4037744999999999,9,7,9,9,9,NC
0.3873954999999999,0.13749875,1.523728208333334,1.5022,1.4622,1.5422,1.4097061353762381,1.63775028129043,0.3773954999999999,0.3973954999999999,9,3,9,3,9,NC
0.5238070294117647,0.1578338529411764,1.75383044117647,1.4913,1.4513,1.5313,1.6552553117715094,1.8524055705814306,0.5138070294117647,0.5338070294117647,9,9,9,9,9,NC
0.7065903684210527,0.2157654210526316,1.736991631578948,1.5108,1.4707999999999999,1.5508,1.6659076164993878,1.8080756466585082,0.6965903684210527,0.7165903684210527,9,9,9,9,9,NC
0.502955,0.1754186666666667,1.544726,1.515833333333333,1.4758333333333329,1.555833333333333,1.4552196719366126,1.6342323280633875,0.49295500000000003,0.512955,9,3,9,3,9,NC
0.7134488181818182,0.2238274090909091,1.694377045454546,1.4553,1.4153,1.4953,1.625691292467595,1.7630627984414968,0.7034488181818181,0.7234488181818182,9,7,9,9,9,NC
0.6797208181818181,0.1877736818181819,1.882740954545455,1.5113,1.4713,1.5513000000000001,1.8016952788320295,1.9637866302588805,0.6697208181818181,0.6897208181818181,9,9,9,9,9,NC
0.8138217333333332,0.2100736333333333,1.987198666666667,1.5075,1.4675,1.5475,1.9150828144759129,2.059314518857421,0.8038217333333332,0.8238217333333332,9,9,9,9,9,NC
0.6807234999999999,0.25641875,1.43472975,1.459,1.419,1.499,1.3730074582888285,1.4964520417111715,0.6707234999999999,0.6907234999999999,3,7,7,3,3,BB
0.5871342380952381,0.1923489523809524,1.630411190476191,1.482,1.442,1.522,1.5497862851594606,1.7110360957929216,0.5771342380952381,0.5971342380952381,9,9,9,9,9,NC
0.301283,0.1231968,1.3157656,1.439,1.399,1.479,1.1871276540778064,1.4444035459221936,0.291283,0.31128300000000003,3,7,7,3,3,BB
1.584749833333333,0.4190681923076923,1.926638884615385,1.45905,1.41905,1.49905,1.890008097856936,1.963269671373834,1.574749833333333,1.594749833333333,9,9,9,9,9,NC
1.663296714285714,0.4638569999999999,1.863657266666667,1.42325,1.3832499999999999,1.46325,1.8301988317428255,1.8971157015905087,1.653296714285714,1.673296714285714,9,9,9,9,9,NC
0.8508945454545455,0.2534611818181818,1.774300636363636,1.46055,1.42055,1.50055,1.7135713208730254,1.8350299518542466,0.8408945454545455,0.8608945454545455,9,7,9,9,9,NC
0.7221673333333333,0.3211756666666667,1.216333666666667,1.4528,1.4128,1.4928000000000001,1.166348278224678,1.2663190551086563,0.7121673333333333,0.7321673333333333,3,7,7,3,3,BB
0.3033609393939395,0.1029621515151515,1.589248696969697,1.48355,1.4435499999999999,1.52355,1.4355948743356297,1.7429025196037644,0.2933609393939395,0.3133609393939395,9,3,9,3,9,NC
0.2253506,0.08621176,1.46366268,1.4069,1.3669,1.4469,1.2777245179996557,1.6496008420003445,0.2153506,0.23535060000000002,7,7,7,3,9,UI
0.3392659047619048,0.1165827619047619,1.573511047619047,1.39145,1.35145,1.4314500000000001,1.4392013105056507,1.7078207847324434,0.3292659047619048,0.34926590476190483,7,7,7,3,9,UI
0.7320642962962962,0.2181886666666667,1.773800888888888,1.3663,1.3263,1.4063,1.7036484076658927,1.8439533701118835,0.7220642962962962,0.7420642962962962,9,9,9,7,9,NC
0.6801644375000001,0.20068159375,1.786258718750001,1.492333333333334,1.452333333333334,1.532333333333334,1.710048556167231,1.862468881332771,0.6701644375000001,0.6901644375000001,9,9,9,9,9,NC
0.5552840000000001,0.2078088571428571,1.477740357142857,1.517266666666667,1.477266666666667,1.557266666666667,1.4002848415237563,1.5551958727619575,0.5452840000000001,0.5652840000000001,3,3,9,3,9,BB
0.4987405945945947,0.170626081081081,1.595147432432432,1.5653,1.5252999999999999,1.6053,1.504285023326547,1.686009841538317,0.4887405945945947,0.5087405945945946,9,9,9,9,9,NC
0.5385542903225804,0.1622347741935484,1.759879709677419,1.46358,1.42358,1.5035800000000001,1.6654490866226208,1.8543103327322172,0.5285542903225804,0.5485542903225804,9,7,9,9,9,NC
0.7514871666666666,0.2184816279069768,1.812255558139535,1.47425,1.43425,1.51425,1.7418816430246806,1.8826294732543893,0.7414871666666666,0.7614871666666666,9,9,9,9,9,NC
