aod440,aod870,aod1020,arod,eae,arod_sub,arod_sob,eae_sub,eae_sob,aod440_sub,aod440_sob,class,class_00,class_01,class_10,class_11,class_code
0.1615345,0.078592,0.06634675,0.4107280488069112,1.0725375,0.3429778938285968,0.47847820378522565,0.8596101260513913,1.2854648739486085,0.1515345,0.1715345,8,8,8,8,8,C
0.09349199999999998,0.04395706666666667,0.03649133333333333,0.3903150358675965,1.141845066666667,0.27367481123890974,0.5069552604962833,0.7464160650648983,1.5372740682684358,0.08349199999999998,0.10349199999999997,1,8,1,8,1,M
0.09636553333333334,0.05078613333333333,0.04505033333333333,0.46749425624514435,0.9693087333333332,0.34944578501205104,0.5855427274782377,0.6224700114117696,1.3161474552548968,0.08636553333333334,0.10636553333333333,1,1,1,1,1,M
0.1671064444444444,0.117073,0.111267,0.6658450568433429,0.5592161111111111,0.5939510687618932,0.7377390449247927,0.4045525400985729,0.7138796821236494,0.15710644444444438,0.1771064444444444,8,8,8,8,8,C
0.09876270000000001,0.0459528,0.0399244,0.4042457324475738,1.151481,0.29187445680458873,0.5166170080905588,0.7780624754397418,1.5248995245602581,0.08876270000000001,0.1087627,1,8,1,8,1,M
0.1053866428571429,0.05125271428571428,0.04497957142857142,0.4268052402954289,1.087035,0.3220081366350005,0.5316023439558573,0.7505299963885917,1.423540003611408,0.0953866428571429,0.1153866428571429,1,1,1,1,1,M
0.1193545882352941,0.07073100000000002,0.06398087499999999,0.5360571046826362,0.838927588235294,0.4404070096044287,0.6317071997608438,0.5894747288016366,1.0883804476689514,0.1093545882352941,0.1293545882352941,1,1,1,1,1,M
0.09267929411764704,0.0680565294117647,0.06642735294117647,0.7167442692955087,0.5957071176470589,0.576903199106457,0.8565853394845604,0.32129696999243523,0.8701172653016824,0.08267929411764705,0.10267929411764704,1,1,1,1,1,M
0.07878720000000002,0.0354454,0.027957,0.35484190325332027,1.2179338,0.21615515319491593,0.4935286533117246,0.6985784893861011,1.7372891106138988,0.06878720000000002,0.08878720000000001,1,8,1,8,1,M
0.042212,0.020612,0.017407,0.41237088979437125,1.133121,0.1035596499776128,0.7211821296111297,,,0.032212,0.052212,1,8,1,8,1,M
0.09114183333333332,0.042943,0.035327,0.38760466745054867,1.151687666666667,0.26605146812867253,0.5091578667724248,0.7345103830974027,1.5688649502359315,0.08114183333333333,0.10114183333333332,1,8,1,8,1,M
0.1033422,0.063445,0.05700746666666667,0.5516378272057947,0.8111215333333334,0.4382647126522769,0.6650109417593125,0.5326968644589627,1.089546202207704,0.0933422,0.11334219999999999,1,1,1,1,1,M
0.1044438461538462,0.05510323076923077,0.04734461538461539,0.45330210565854284,0.9685384615384616,0.34541665392289955,0.5611875573941861,0.6560343851265036,1.2810425379504196,0.09444384615384621,0.1144438461538462,1,1,1,1,1,M
0.1121035714285714,0.05607971428571429,0.04971057142857143,0.4434343241262864,1.060229857142857,0.3448337370390887,0.5420349112134841,0.7616719189292446,1.3587877953564695,0.1021035714285714,0.1221035714285714,1,1,1,1,1,M
0.05063691666666666,0.03904541666666666,0.03707366666666666,0.7321470007882916,0.43861525,0.45684923599194494,1.0074447655846384,0.0,0.9468956209493617,0.04063691666666666,0.060636916666666665,1,1,1,1,1,M
0.043561,0.02215883333333334,0.01926122222222222,0.4421666679420174,1.067389111111111,0.15014505626357777,0.7341882796204571,,,0.033561,0.053561000000000004,1,8,1,8,1,M
0.0590715,0.03667983333333334,0.03404416666666667,0.5763213506795437,0.778235,0.36771173008080993,0.7849309712782775,0.244035616148922,1.3124343838510781,0.0490715,0.0690715,1,1,1,1,1,M
0.03942685714285714,0.03171257142857143,0.02839028571428571,0.7200747858602548,0.4162194285714286,0.322167741680649,1.1179818300398605,,,0.029426857142857137,0.04942685714285714,1,1,1,1,1,M
0.0648651875,0.04706,0.04352331249999999,0.6709810636098136,0.5376935625,0.47309182376233405,0.8688703034572931,0.1296004278853642,0.9457866971146358,0.0548651875,0.0748651875,1,1,1,1,1,M
0.05016975,0.0286335,0.02603275,0.5188933570528057,0.8894027499999999,0.26767462668661746,0.770112087418994,,,0.04016975,0.06016975,1,8,1,8,1,M
0.06905819999999999,0.0366964,0.0323186,0.46799076720794935,0.9748889999999999,0.30180117491343383,0.6341803595024649,,,0.059058199999999984,0.07905819999999998,1,8,1,8,1,M
3.118344818181818,0.913993607142857,0.6233074285714285,0.19988406187063498,1.910425571428572,0.1965788717257472,0.20318925201552276,1.8936558764533478,1.9271952664037963,3.108344818181818,3.1283448181818176,3,3,3,3,3,BB
