aod440,aod870,eae,ssa440,ssa440_sub,ssa440_sob,eae_sub,eae_sob,aod440_sub,aod440_sob,class,class_00,class_01,class_10,class_11,class_code
3.118344818181818,0.913993607142857,1.910425571428572,0.9087,0.8786999999999999,0.9387,1.8937012516233995,1.9271498912337446,3.108344818181818,3.1283448181818176,9,9,9,9,9,NC
3.449617533333334,1.039070266666667,1.758945266666667,0.9215,0.8915,0.9515,1.7441800846177427,1.7737104487155912,3.439617533333334,3.4596175333333337,9,9,9,9,9,NC
1.443462857142857,0.4133138571428572,1.828689714285714,0.9061,0.8761,0.9361,1.7911992289784568,1.866180199592971,1.433462857142857,1.453462857142857,9,9,9,9,9,NC
0.3787632857142857,0.127027,1.606040714285714,0.8698,0.8398,0.8998,1.4816678272965067,1.7304136012749214,0.3687632857142857,0.3887632857142857,3,3,9,7,9,BB
0.5068902162162163,0.1694592972972973,1.607104027027028,0.8416,0.8116,0.8716,1.5152308191091228,1.6989772349449332,0.4968902162162163,0.5168902162162163,3,9,9,3,3,BB
0.1970089318181818,0.06254970454545455,1.678920045454545,0.88455,0.8545499999999999,0.91455,1.4231125104652926,1.9347275804437973,0.1870089318181818,0.2070089318181818,3,3,9,7,9,BB
0.7370952857142858,0.2201584285714286,1.771806238095238,0.9192,0.8892,0.9492,1.702269258031946,1.8413432181585299,0.7270952857142858,0.7470952857142859,9,9,9,9,9,NC
0.2639216842105264,0.08527715789473685,1.658707052631579,0.907,0.877,0.937,1.4745596155166592,1.842854489746499,0.2539216842105264,0.27392168421052643,7,3,9,7,9,UI
0.1770211627906977,0.0588633488372093,1.622587325581395,0.8963,0.8663,0.9263,1.3493517785476978,1.895822872615092,0.1670211627906977,0.18702116279069772,7,3,9,7,9,UI
0.2801445555555556,0.1123000555555556,1.344937555555556,0.9241999999999999,0.8941999999999999,0.9541999999999999,1.2028377846362812,1.487037326474831,0.2701445555555556,0.2901445555555556,7,3,3,7,7,UI
0.2479514166666667,0.09374852777777781,1.41907375,0.9217,0.8916999999999999,0.9517,1.2501594492095114,1.5879880507904884,0.2379514166666667,0.2579514166666667,7,3,3,7,7,UI
0.429814551724138,0.1683270344827586,1.458995310344828,0.9076333333333334,0.8776333333333334,0.9376333333333334,1.3654061131163395,1.5525845075733167,0.419814551724138,0.439814551724138,7,3,3,7,7,UI
0.3937744999999999,0.1158741538461538,1.80021,0.90065,0.8706499999999999,0.93065,1.6672206526209192,1.933199347379081,0.3837744999999999,0.4037744999999999,9,3,9,7,9,NC
